scenario,mpa_coverage,unprotected_effort,protected_effort,fraction_effort_protected
Business-as-usual,0.025,51383514.784492806,67597.77045034288,0.0013138252429071807
Expert-derived EBSA,0.2,45223871.13217698,6227241.4227662515,0.12103220151199551
Protecting most-fished pixels,0.03,28040514.39388431,23410598.161058977,0.4550066460867958
Protecting most-fished pixels,0.05,15413625.416836323,36037487.13810703,0.7004219218704649
Protecting most-fished pixels,0.1,9631251.535782399,41819861.01916104,0.8128077109023171
Protecting most-fished pixels,0.16,6857083.6141789965,44594028.94076439,0.8667262324627776
Protecting most-fished pixels,0.2,5654688.164947139,45796424.38999626,0.8900959010573652
Protecting most-fished pixels,0.3,3639681.825392069,47811430.72955127,0.9292594145266472
Random,0.03,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.05,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.1,47692164.85610888,3758947.698834288,0.07305862812626676
Random,0.16,44878212.68610602,6572899.868837199,0.12775039338203195
Random,0.2,43158415.9047482,8292696.650195156,0.16117623581685608
Random,0.3,37509806.053955294,13941306.500988033,0.2709621970973022
Sala et al. 2021 biodiversity,0.03,49354011.51858712,2097101.0363560163,0.040759099895392614
Sala et al. 2021 biodiversity,0.05,44629469.84923354,6821642.705709764,0.13258494067402546
Sala et al. 2021 biodiversity,0.1,32173685.657262947,19277426.89768041,0.37467463657067723
Sala et al. 2021 biodiversity,0.16,20804130.795137856,30646981.7598055,0.5956524599361842
Sala et al. 2021 biodiversity,0.2,15852435.810623065,35598676.74432014,0.691893235667262
Sala et al. 2021 biodiversity,0.3,11240177.333081936,40210935.221861236,0.7815367486742124
Sala et al. 2021 carbon,0.03,34253367.9452408,17197744.609702494,0.33425408617427804
Sala et al. 2021 carbon,0.05,22985597.12756907,28465515.427374277,0.5532536424159278
Sala et al. 2021 carbon,0.1,14556238.543520458,36894874.01142305,0.7170860294230533
Sala et al. 2021 carbon,0.16,13469184.55933437,37981927.995609224,0.7382139298746766
Sala et al. 2021 carbon,0.2,12849380.260378283,38601732.29456523,0.7502604001680875
Sala et al. 2021 carbon,0.3,11401921.964050189,40049190.59089327,0.7783930920468564
Sala et al. 2021 food,0.03,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.05,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.1,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.16,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.2,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.3,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 multi-objective,0.03,37088357.01744534,14362755.537497891,0.27915344925069013
Sala et al. 2021 multi-objective,0.05,29844010.14191652,21607102.413026724,0.41995403675582493
Sala et al. 2021 multi-objective,0.1,26689446.702296183,24761665.85264704,0.4812658973351595
Sala et al. 2021 multi-objective,0.16,25502304.74185529,25948807.813088104,0.5043391002551791
Sala et al. 2021 multi-objective,0.2,24574448.625148274,26876663.929795068,0.5223728427853559
Sala et al. 2021 multi-objective,0.3,23703621.659719795,27747490.895223536,0.5392981709694362
Protecting unfished pixels,0.03,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.05,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.1,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.16,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.2,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.3,51309947.33295389,141165.22198927,0.002743676763811934
Visalli et al. 2020,0.16,49748124.56663482,1702987.9883083599,0.03309914798226739
